city,country,lat,lng
Jiujiang,China,29.661,115.954
Huaihua,China,27.5698,110.0016
Huanglongsi,China,34.795,114.345
Taizhou,China,32.4567,119.9229
Belāhi,India,26.4,86.25
Yibin,China,28.752,104.643
Ji’an,China,27.0912,114.9668
Yangzhou,China,32.3944,119.4128
Kunming,China,25.0464,102.7094
Changchun,China,43.897,125.326
Lu’an,China,31.736,116.52
Xinpu,China,34.5966,119.2214
Langfang,China,39.5383,116.6835
Boston,United States,42.3188,-71.0852
Ürümqi,China,43.8225,87.6125
Suzhou,China,31.3,120.6194
Guigang,China,23.112,109.599
Shantou,China,23.354,116.682
Jiangguanchi,China,34.037,113.852
Kabul,Afghanistan,34.5253,69.1783
Xiaoganzhan,China,30.918,113.957
Bamako,Mali,12.6458,-7.9922
Kano,Nigeria,12.0,8.5167
Luzhou,China,28.871,105.442
Hefei,China,31.8206,117.2273
Hengshui,China,37.739,115.669
Fortaleza,Brazil,-3.7275,-38.5275
Anqing,China,30.5318,117.1153
Zhangjiakou,China,40.769,114.886
Zhaoqing,China,23.05,112.4667
Shijiazhuang,China,38.0425,114.51
Ningbo,China,29.8603,121.6245
Qiqihar,China,47.3549,123.9182
Phoenix,United States,33.5722,-112.0892
Liuzhou,China,24.3278,109.4278
Chifeng,China,42.255,118.8825
Xiaoxita,China,30.692,111.287
Amman,Jordan,31.9497,35.9328
Linfen,China,36.088,111.519
Xianyang,China,34.3299,108.7088
Chuzhou,China,32.256,118.333
Kumasi,Ghana,6.7,-1.625
Zhuzhou,China,27.829,113.133
Taiyuan,China,37.8704,112.5497
Qingyuan,China,23.682,113.056
Meizhou,China,24.289,116.122
Yiyang,China,28.5549,112.356
Nanning,China,22.8167,108.3275
Harbin,China,45.7576,126.6409
Loudi,China,27.6998,111.9944
Abuja,Nigeria,9.0667,7.4833
Yokohama,Japan,35.4442,139.6381
Suihua,China,46.654,126.969
Binzhou,China,37.383,117.971
Zaozhuang,China,34.8109,117.3238
Detroit,United States,42.3834,-83.1024
Xiamen,China,24.4796,118.0889
Mashhad,Iran,36.3264,59.5433
Montréal,Canada,45.5089,-73.5617
Fuzhou,China,26.0743,119.2964
Wuhu,China,31.3526,118.4331
Medan,Indonesia,3.5894,98.6739
Yulinshi,China,38.2858,109.7341
Fuzhou,China,27.949,116.358
Wenzhou,China,27.9938,120.6993
Changzhou,China,31.811,119.974
Puyang,China,35.7627,115.0292
Nanchang,China,28.683,115.858
Baicheng,China,23.903,106.619
Seattle,United States,47.6211,-122.3244
Ibadan,Nigeria,7.3964,3.9167
Jiaozuo,China,35.2157,113.2419
Nādampālaiyam,India,11.0125,76.9714
Deyang,China,31.127,104.398
Busan,"Korea, South",35.18,129.075
Hechi,China,24.693,108.085
Tangshan,China,39.6294,118.1739
Lucknow,India,26.85,80.95
San Francisco,United States,37.7558,-122.4449
Boankra,Ghana,6.6919,-1.4051
Dubai,United Arab Emirates,25.2631,55.2972
Anshan,China,41.108,122.994
Guozhen,China,34.3609,107.1751
Baojishi,China,34.363,107.238
Qinzhou,China,21.981,108.654
Guiyang,China,26.647,106.63
Wuxi,China,31.5667,120.2833
Kannankulam,India,10.52,76.21
Caracas,Venezuela,10.4806,-66.9036
Kotla Qasim Khan,Pakistan,32.5833,73.75
Casablanca,Morocco,33.5333,-7.5833
Hanzhong,China,33.0664,107.0232
Shiyan,China,32.629,110.7987
Guang’an,China,30.4564,106.6326
Faisalabad,Pakistan,31.4167,73.0911
Changzhi,China,36.195,113.117
Tongren,China,27.7316,109.1895
Bengbu,China,32.917,117.389
Leshan,China,29.552,103.766
Santa Cruz de la Sierra,Bolivia,-17.7892,-63.1975
Neijiang,China,29.5802,105.058
Zhenjiang,China,32.188,119.424
Qinhuangdao,China,39.8882,119.5202
Bursa,Turkey,40.1833,29.05
Tashkent,Uzbekistan,41.3111,69.2797
Guayaquil,Ecuador,-2.19,-79.8875
Jaipur,India,26.9,75.8
Lanzhou,China,36.0606,103.8268
Ouagadougou,Burkina Faso,12.3686,-1.5275
Athens,Greece,37.9842,23.7281
San Diego,United States,32.8313,-117.1222
Guatemala City,Guatemala,14.6417,-90.5133
Kuwait City,Kuwait,29.3697,47.9783
Qincheng,China,34.5815,105.7248
İzmir,Turkey,38.42,27.14
Quezon City,Philippines,14.65,121.0475
Kyiv,Ukraine,50.45,30.5233
Kottārasshēri,India,10.775,76.651
Meishan,China,30.0771,103.8484
Incheon,"Korea, South",37.4833,126.6333
Ningde,China,26.6662,119.5477
Zhongshan,China,22.517,113.3925
Minneapolis,United States,44.9635,-93.2678
Tampa,United States,27.9945,-82.4447
Putian,China,25.4526,119.0078
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6
Tongliao,China,43.654,122.243
Chaoyang,China,41.571,120.453
Hohhot,China,40.842,111.749
Pyongyang,"Korea, North",39.0167,125.7475
Shaoguan,China,24.811,113.597
Taichung,Taiwan,24.1439,120.6794
Cali,Colombia,3.4206,-76.5222
Heyuan,China,23.7443,114.7002
Wuzhou,China,23.4767,111.279
Pretoria,South Africa,-25.7461,28.1881
Suining,China,30.533,105.593
Omdurman,Sudan,15.6835,32.4629
Weihai,China,37.5133,122.1205
Rizhao,China,35.417,119.527
Malang,Indonesia,-7.98,112.62
Stuttgart,Germany,48.7775,9.18
Daqing,China,46.589,125.104
Rome,Italy,41.8931,12.4828
Kaohsiung,Taiwan,22.615,120.2975
Brooklyn,United States,40.6501,-73.9496
Xiangtan,China,27.8313,112.9454
Bazhou,China,31.868,106.748
Handan,China,36.601,114.487
Brisbane,Australia,-27.4678,153.0281
Jinzhou,China,41.129,121.148
Denver,United States,39.762,-104.8758
Xinzhou,China,38.416,112.734
Nanping,China,26.6418,118.1774
Gāzipura,Bangladesh,23.9234,90.3959
Shanwei,China,22.7872,115.3756
Maracaibo,Venezuela,10.6333,-71.6333
Chaozhou,China,23.658,116.622
Baotou,China,40.6213,109.9532
Longyan,China,25.076,117.017
Weifang,China,36.708,119.162
Huai’an,China,33.551,119.113
Zibo,China,36.8138,118.055
Attadappa,India,11.8689,75.3555
Munich,Germany,48.1375,11.575
Gulou,China,26.0865,119.298
Birmingham,United Kingdom,52.48,-1.9025
Valencia,Venezuela,10.1833,-68.0
Damascus,Syria,33.502,36.2981
Chattogram,Bangladesh,22.335,91.8325
Brazzaville,Congo (Brazzaville),-4.2667,15.2667
Yangjiang,China,21.857,111.983
Sanaa,Yemen,15.3483,44.2064
Barmhān Kalān,India,19.1972,72.9722
Medellín,Colombia,6.2308,-75.5906
Dingxi,China,35.608,104.592
Shaoxing,China,30.0511,120.5833
Yantai,China,37.4646,121.4478
Huizhou,China,23.112,114.416
Xuanzhou,China,30.939,118.759
Mirzāpur,India,25.146,82.569
Hamburg,Germany,53.55,10.0
Taipei,Taiwan,25.0375,121.5625
Ankang,China,32.6854,109.029
Zigong,China,29.339,104.779
Sanming,China,26.2634,117.6389
Toluca,Mexico,19.2925,-99.6569
Huangshi,China,30.2011,115.039
Yaoundé,Cameroon,3.8667,11.5167
Zhuhai,China,22.2742,113.5719
Huludao,China,40.711,120.837
Baoshan,China,25.112,99.161
Mecca,Saudi Arabia,21.4225,39.8261
Vancouver,Canada,49.25,-123.1
Lianshan,China,40.7523,120.828
Beirut,Lebanon,33.8981,35.5058
Salvador,Brazil,-12.9831,-38.4928
Bucharest,Romania,44.4325,26.1039
Longba,China,33.3702,104.9603
Nāgpur,India,21.1497,79.0806
Queens,United States,40.7498,-73.7976
Tieling,China,42.2237,123.726
Yunfu,China,22.9152,112.0445
Bekasi,Indonesia,-6.2333,107.0
Daegu,"Korea, South",35.8717,128.6017
Ghāziābād,India,28.67,77.42
Luoyang,China,34.6197,112.4539
Luohe,China,33.5804,114.0166
Algiers,Algeria,36.7325,3.0872
Anshun,China,26.2531,105.9476
Huainan,China,32.6314,117.0194
Depok,Indonesia,-6.394,106.8225
Konya,Turkey,37.8667,32.4833
Haiphong,Vietnam,20.8651,106.6838
Yanjiang,China,30.129,104.627
Guangyuan,China,32.436,105.844
Baku,Azerbaijan,40.3667,49.8352
Yingkou,China,40.625,122.219
Mudanjiang,China,44.5514,129.6329
Riverside,United States,33.9381,-117.3949
Fukuoka,Japan,33.59,130.4017
Nantong,China,31.981,120.894
Lincang,China,23.884,100.089
Las Vegas,United States,36.2333,-115.2654
Haikou,China,20.0186,110.3488
Yuxi,China,24.347,102.527
Tangerang,Indonesia,-6.1703,106.6403
Supaul,India,26.126,86.605
Almaty,Kazakhstan,43.24,76.915
Vienna,Austria,48.2083,16.3725
Eşfahān,Iran,32.6653,51.6703
Xining,China,36.6224,101.7804
Jincheng,China,35.491,112.852
Baltimore,United States,39.3051,-76.6144
Dandong,China,40.1167,124.3833
Yan’an,China,36.65,109.494
Qinbaling,China,35.7091,107.6436
Gaoping,China,30.7824,106.1281
Awka,Nigeria,6.2069,7.0678
Taizhou,China,28.6557,121.4208
Ma’anshan,China,31.669,118.507
Jiamusi,China,46.8,130.319
Perth,Australia,-31.9558,115.8597
Gaziantep,Turkey,37.0628,37.3792
Phnom Penh,Cambodia,11.5696,104.921
St. Louis,United States,38.6359,-90.2451
Mogadishu,Somalia,2.0392,45.3419
Lishui,China,28.468,119.923
Kowloon,Hong Kong,22.3167,114.1833
Córdoba,Argentina,-31.4167,-64.1833
Zamboanga City,Philippines,6.9042,122.0761
Rawalpindi,Pakistan,33.6,73.0333
Havana,Cuba,23.1367,-82.3589
Chongzuo,China,22.377,107.365
Portland,United States,45.5371,-122.65
Laibin,China,23.7501,109.2212
San Antonio,United States,29.4632,-98.5238
Vadodara,India,22.3,73.2
Qingyang,China,24.7816,118.5517
Rājkot,India,22.3,70.7833
Shangzhou,China,33.8734,109.9186
Vishākhapatnam,India,17.7042,83.2978
Shengli,China,37.434,118.6746
Sanmenxia,China,34.7732,111.2004
Warsaw,Poland,52.23,21.0111
Gujranwala,Pakistan,32.1567,74.19
Hezhou,China,24.4042,111.5672
Aleppo,Syria,36.2319,37.1681
Tijuana,Mexico,32.525,-117.0333
Puning,China,23.298,116.166
Indore,India,22.7167,75.8472
Minsk,Belarus,53.9006,27.5586
Karaj,Iran,35.8292,50.9675
Kananga,Congo (Kinshasa),-5.897,22.4488
Huaibei,China,33.956,116.798
Peshawar,Pakistan,34.0144,71.5675
Sacramento,United States,38.5677,-121.4685
Sapporo,Japan,43.0619,141.3544
Tilburg,Netherlands,51.5572,5.0911
Austin,United States,30.3005,-97.7522
Orlando,United States,28.4773,-81.337
Davao,Philippines,7.07,125.6
Songjiang,China,31.0058,121.2333
Yinchuan,China,38.485,106.225
Abhepur,India,39.41,116.38
Thāne,India,19.1972,72.9722
Multan,Pakistan,30.1978,71.4697
Port Harcourt,Nigeria,4.8242,7.0336
Fushun,China,41.881,123.957
Tainan,Taiwan,22.9833,120.1833
Pingliang,China,35.5424,106.6649
Siping,China,43.1668,124.3506
San Juan,Puerto Rico,18.3985,-66.061
Pingxiang,China,27.659,113.887
Bhopāl,India,23.2599,77.4126
Mosul,Iraq,36.3667,43.1167
Diyarbakır,Turkey,37.91,40.24
Lubumbashi,Congo (Kinshasa),-11.6647,27.4794
Benin City,Nigeria,6.3333,5.6222
Curitiba,Brazil,-25.4297,-49.2719
San Jose,United States,37.3012,-121.848
Shuyangzha,China,34.1299,118.7734
Adana,Turkey,37.0,35.3213
Quito,Ecuador,-0.22,-78.5125
Āgra,India,27.18,78.02
Peyanvilai,India,8.9,77.9833
Lusaka,Zambia,-15.4167,28.2833
Indianapolis,United States,39.7771,-86.1458
Hyderabad City,Pakistan,25.3792,68.3683
Pimpri-Chinchwad,India,18.6186,73.8037
Maracay,Venezuela,10.2469,-67.5961
Masqaţ,Oman,23.614,58.5911
Montevideo,Uruguay,-34.9056,-56.1842
Pittsburgh,United States,40.4397,-79.9763
Cincinnati,United States,39.1413,-84.506
Manhattan,United States,40.7834,-73.9662
Kansas City,United States,39.1238,-94.5541
Budapest,Hungary,47.4983,19.0408
Patna,India,25.594,85.1376
Kampala,Uganda,0.3136,32.5811
Beihai,China,21.481,109.12
Sanzhou,China,30.82,108.4
Cleveland,United States,41.4764,-81.6805
Conakry,Guinea,9.5092,-13.7122
Ximeicun,China,24.9612,118.3849
Caloocan City,Philippines,14.65,120.97
Ecatepec,Mexico,19.6097,-99.06
Yushan,China,31.322,120.985
Fuxin,China,42.022,121.67
Novosibirsk,Russia,55.05,82.95
Bilāspur,India,22.09,82.15
Semarang,Indonesia,-6.99,110.4225
Jingdezhen,China,29.2917,117.1986
Ludhiāna,India,30.91,75.85
Liaoyang,China,41.279,123.176
Jiangyin,China,31.839,120.295
Valencia,Spain,39.47,-0.3764
Shuozhou,China,39.3317,112.4329
León de los Aldama,Mexico,21.1167,-101.6833
Columbus,United States,39.9862,-82.9855
Puebla,Mexico,19.0333,-98.1833
Biên Hòa,Vietnam,10.95,106.8167
Chengtangcun,China,35.0833,117.15
Yopougon,Côte d’Ivoire,5.3748,-4.0867
Hebi,China,35.748,114.297
Shīrāz,Iran,29.61,52.5425
Dushanbe,Tajikistan,38.5367,68.78
Madurai,India,9.9252,78.1198
Huzhou,China,30.8925,120.0875
Harare,Zimbabwe,-17.8292,31.0522
Tabrīz,Iran,38.0817,46.2992
Jamshedpur,India,22.7925,86.1842
Baicheng,China,45.62,122.838
San José,Costa Rica,9.9325,-84.08
Shaoyang,China,32.912,119.8526
San Salvador,El Salvador,13.6989,-89.1914
Palembang,Indonesia,-2.9861,104.7556
Kawasaki,Japan,35.5167,139.7
Kōbe,Japan,34.69,135.1956
Jiaxing,China,30.747,120.756
Zhangjiajie,China,29.117,110.479
Baiyin,China,36.5451,104.1389
Guiping,China,23.4,110.0833
Changshu,China,31.656,120.753
Jixi,China,45.295,130.969
Xushan,China,30.1667,121.2333
Lomé,Togo,6.1308,1.2153
Niamey,Niger,13.515,2.1175
Gwangju,"Korea, South",35.1653,126.8486
Recife,Brazil,-8.0539,-34.8808
Nāsik,India,19.9975,73.7898
Abu Dhabi,United Arab Emirates,24.4667,54.3667
Onitsha,Nigeria,6.1667,6.7833
Amsterdam,Netherlands,52.3728,4.8936
Vijayavāda,India,16.5193,80.6305
Zapopan,Mexico,20.7167,-103.4
Daejeon,"Korea, South",36.35,127.385
Bronx,United States,40.8501,-73.8662
Auckland,New Zealand,-36.8492,174.7653
Yekaterinburg,Russia,56.8356,60.6128
Wuwei,China,37.929,102.638
Jinhua,China,29.079,119.647
Kyōto,Japan,35.0117,135.7683
Pizhou,China,34.398,117.89
Yangshe,China,31.8767,120.556
Dakar,Senegal,14.6726,-17.432
Charlotte,United States,35.2083,-80.8303
Yucheng,China,30.01,103.0415
Kayseri,Turkey,38.7225,35.4875
Virginia Beach,United States,36.7335,-76.0435
Rui’an,China,27.7833,120.625
Muscat,Oman,23.6139,58.5922
Kharkiv,Ukraine,49.9925,36.2311
Pointe-Noire,Congo (Brazzaville),-4.7975,11.8503
Medina,Saudi Arabia,24.47,39.61
Sangereng,Indonesia,-6.2889,106.7181
Farīdābād,India,28.4211,77.3078
Sofia,Bulgaria,42.6979,23.3217
Ulaanbaatar,Mongolia,47.9214,106.9055
Adelaide,Australia,-34.9275,138.6
Prague,Czechia,50.0875,14.4214
Wenling,China,28.3667,121.3667
Copenhagen,Denmark,55.6805,12.5615
Najafgarh,India,28.6125,76.9847
Lianjiang,China,21.7333,110.2833
Helsinki,Finland,60.1708,24.9375
Samsun,Turkey,41.2903,36.3336
Milan,Italy,45.4669,9.19
Antalya,Turkey,36.8874,30.7075
Santiago,Dominican Republic,19.4572,-70.6889
Chizhou,China,30.6654,117.4916
Makassar,Indonesia,-5.1331,119.4136
Porto Alegre,Brazil,-30.0328,-51.23
Huangshan,China,29.7149,118.3376
Gaozhou,China,21.9244,110.8422
Barranquilla,Colombia,10.9833,-74.8019
Al Başrah,Iraq,30.515,47.81
Benxi,China,41.3039,123.7649
Saitama,Japan,35.8614,139.6456
Ahvāz,Iran,31.3047,48.6783
Guarulhos,Brazil,-23.4667,-46.5333
Leizhou,China,20.9143,110.0967
Juárez,Mexico,31.745,-106.485
Mandalay,Burma,21.9831,96.0844
Yangquan,China,37.8571,113.5804
Fuqing,China,25.7167,119.3833
Xintai,China,35.909,117.768
Wusong,China,30.945,117.811
Tongling,China,30.9456,117.8114
Calgary,Canada,51.05,-114.0667
Meerut,India,28.98,77.71
Jacksonville,United States,30.3322,-81.6749
Kuaidamao,China,41.7283,125.9397
Huazhou,China,21.664,110.6396
Milwaukee,United States,43.0642,-87.9675
Wuzhong,China,37.9978,106.1986
Belém,Brazil,-1.4558,-48.5039
Cacuaco,Angola,-8.8053,13.2444
Rosario,Argentina,-32.9575,-60.6394
Tangier,Morocco,35.7767,-5.8039
Antananarivo,Madagascar,-18.91,47.525
Canagatan,Philippines,18.0,121.8
Soweto,South Africa,-26.2678,27.8585
Providence,United States,41.823,-71.4187
Xiantao,China,30.328,113.443
Jabalpur,India,23.1667,79.9333
Huaiyin,China,33.5819,119.028
Yutan,China,28.278,112.552
Kazan,Russia,55.7964,49.1089
Bagam,Indonesia,1.13,104.0531
Dayan,China,26.8552,100.2259
Comayagüela,Honduras,14.098,-87.21
Brussels,Belgium,50.8467,4.3525
Laiwu,China,36.1833,117.6667
Huazhou,China,32.688,112.087
Sharjah,United Arab Emirates,25.3575,55.3908
Kalyān,India,19.24,73.13
Rucheng,China,32.246,120.591
Barquisimeto,Venezuela,10.0636,-69.3347
Yongcheng,China,33.9299,116.45
Sumedang,Indonesia,-6.84,107.9208
Cần Thơ,Vietnam,10.0333,105.7833
Suwon,"Korea, South",37.2667,127.0167
Yiwu,China,29.3069,120.0753
Vasai-Virar,India,19.47,72.8
Campinas,Brazil,-22.9009,-47.0573
Dadukou,China,26.5824,101.7184
Lingcheng,China,22.708,110.354
Shuangyashan,China,46.6762,131.1416
Nizhniy Novgorod,Russia,56.3269,44.0075
Pānīpat,India,29.3875,76.97
Qom,Iran,34.64,50.8764
Mombasa,Kenya,-4.05,39.6667
Hargeysa,Somalia,9.56,44.065
Baidoa,Somalia,3.1167,43.65
Vārānasi,India,25.3189,83.0128
Hiroshima,Japan,34.3914,132.4519
Chiang Mai,Thailand,18.7953,98.9986
Belgrade,Serbia,44.8178,20.4569
Maiduguri,Nigeria,11.8372,13.1542
Kalleli,India,9.2807,76.8697
Batam Centre,Indonesia,1.1272,104.0556
Pingdu,China,36.7769,119.9884
Rongcheng,China,26.218,104.103
Mbandaka,Congo (Kinshasa),0.0478,18.2558
Xinyu,China,27.8186,114.9167
Doha,Qatar,25.2867,51.5333
Shymkent,Kazakhstan,42.3167,69.5958
Tripoli,Libya,32.8872,13.1914
Srīnagar,India,34.09,74.79
Nashville,United States,36.1715,-86.7842
Chelyabinsk,Russia,55.1547,61.3758
Aurangābād,India,19.88,75.32
Cilacap,Indonesia,-7.7167,109.017
Xinhualu,China,34.3964,113.7402
Salt Lake City,United States,40.7776,-111.9311
Guankou,China,28.1637,113.6433
Bandar Lampung,Indonesia,-5.45,105.2667
Dhanbād,India,23.7998,86.4305
Nay Pyi Taw,Burma,19.7475,96.115
Aba,Nigeria,5.1167,7.3667
Jingling,China,30.664,113.167
Zhuji,China,29.7167,120.2333
Tegucigalpa,Honduras,14.1057,-87.204
Kigali,Rwanda,-1.9536,30.0606
Samara,Russia,53.2028,50.1408
Yingtan,China,28.2721,117.0395
Edmonton,Canada,53.5344,-113.4903
Raleigh,United States,35.8324,-78.6429
Bishkek,Kyrgyzstan,42.8667,74.5667
Bujumbura,Burundi,-3.3833,29.3667
Guyuan,China,36.01,106.257
Leiyang,China,26.4223,112.8598
Krasnodar,Russia,45.0333,38.9667
Rostov,Russia,47.2225,39.71
Maputo,Mozambique,-25.9153,32.5764
Bukavu,Congo (Kinshasa),-2.5061,28.8608
Amritsar,India,31.64,74.86
Shagamu,Nigeria,6.8333,3.65
Alīgarh,India,27.88,78.08
Zhangye,China,38.9248,100.4499
Ufa,Russia,54.7261,55.9475
Santo Domingo,Dominican Republic,18.4764,-69.8933
Ulsan,"Korea, South",35.55,129.3167
Rongcheng,China,29.8402,112.9048
Tbilisi,Georgia,41.7225,44.7925
Guwāhāti,India,26.1722,91.7458
Fès,Morocco,34.0433,-5.0033
Yingchuan,China,34.142,113.489
Ninh Bình,Vietnam,20.25,105.8333
Yerevan,Armenia,40.1814,44.5144
Mwanza,Tanzania,-2.5167,32.9
Omsk,Russia,54.9833,73.3667
Mexicali,Mexico,32.6633,-115.4678
Sevilla,Spain,37.39,-5.99
Ikare,Nigeria,7.5167,5.75
Dingzhou,China,38.516,114.99
Tamale,Ghana,9.4075,-0.8533
Yuyao,China,30.05,121.15
Goiânia,Brazil,-16.6806,-49.2564
Krasnoyarsk,Russia,56.0089,92.8719
Cologne,Germany,50.9364,6.9528
Ubungo,Tanzania,-6.7889,39.2056
Yicheng,China,31.36,119.815
Richmond,United States,37.5295,-77.4756
Kisangani,Congo (Kinshasa),0.5167,25.2
Ezhou,China,30.3914,114.8949
Astana,Kazakhstan,51.1472,71.4222
Zhufeng,China,36.0,119.4167
Nezahualcóyotl,Mexico,19.4081,-99.0186
Nouakchott,Mauritania,18.0858,-15.9785
Hāora,India,22.58,88.3294
Tongjin,"Korea, South",37.2333,127.2
Rānchi,India,23.36,85.33
Ciudad Nezahualcóyotl,Mexico,19.4006,-99.0148
Gwalior,India,26.2125,78.1775
Ottawa,Canada,45.4247,-75.695
Haicheng,China,40.8824,122.6852
Jianguang,China,28.1958,115.7833
Goyang,"Korea, South",37.65,126.8
Sendai,Japan,38.2682,140.8694
Xibeijie,China,39.7334,98.4943
Chandīgarh,India,30.75,76.78
Voronezh,Russia,51.6717,39.2106
Managua,Nicaragua,12.1364,-86.2514
Zhongwei,China,37.5002,105.1968
Jiancheng,China,30.38,104.53
Mersin,Turkey,36.8,34.6333
Shouguang,China,36.857,118.791
Liangshi,China,27.26,111.7442
São Luís,Brazil,-2.53,-44.3028
Jodhpur,India,26.28,73.02
Memphis,United States,35.1087,-89.9663
Matola,Mozambique,-25.9667,32.4667
Ogbomoso,Nigeria,8.1333,4.25
Sanya,China,18.2533,109.5036
Rangapukur,Bangladesh,25.5206,89.2147
Ashgabat,Turkmenistan,37.9375,58.38
Enugu,Nigeria,6.5,7.5
